ID,Title,Author,Year,Category,Status
1,Harry Potter and the Philosopher's Stone,J.K.Rowling,1997,Fiction,Available
2,Harry Potter and the Chamber of Secrets,J.K.Rowling,1998,Fiction,Available
3,Harry Potter and the Prisoner of Azkaban,J.K.Rowling,1999,Fiction,Available
4,Harry Potter and the Goblet of Fire,J.K.Rowling,2000,Fiction,Available
5,Harry Potter and the Order of the Phoenix,J.K.Rowling,2003,Fiction,Available
6,Harry Potter and the Half-Blood Prince,J.K.Rowling,2005,Fiction,Available
7,Harry Potter and the Deathly Hallows,J.K.Rowling,2007,Fiction,Available
8,The First World War,John Keegan,1998,History,Available
9,The Second World War,Antony Beevor,2012,History,Available
10,A Brief History of Time,Stephen Hawking,1988,Science,Available
